assists_x,clean_sheets_x,expected_goal_involvements,expected_goals_conceded,goals_conceded_x,goals_scored_x,minutes,round,selected,starts,threat,total_points,value,id,element_type,first_name,second_name,team,average_total_points,minutes_played,total_starts,avg_selected,goals_scored_y,assists_y,total_xgc,goals_conceded_y,clean_sheets_y,total_xgi,avg_threat
0,0,0.04,1.24,1,0,80,11,2732842,1,9.0,2,101,17,MID,Bukayo,Saka,1,5.8,434,5,3056312,2,2,,,,3.05,30.83
0,0,0.02,0.0,0,0,1,11,1474,0,0.0,1,40,666,DEF,Caleb,Kporha,7,0.2,1,0,879,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,138421,0,0.0,0,40,301,DEF,Caleb,Okoli,11,1.8,360,4,88558,0,0,9.74,8.0,1.0,,
0,0,0.0,0.0,0,0,0,11,2466,0,0.0,0,40,575,DEF,Caleb,Wiley,6,0.0,0,0,2688,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,0,0,0.0,0,45,678,MID,Callum,Bates,8,0.0,0,0,0,0,0,,,,0.0,0.0
0,0,0.01,1.01,1,0,58,11,254708,1,0.0,1,54,434,MID,Callum,Hudson-Odoi,16,3.6,418,5,235500,1,0,,,,1.03,13.33
0,0,0.0,0.0,0,0,0,11,3781,0,0.0,0,69,421,FWD,Callum,Wilson,15,0.0,0,0,3863,0,0,,,,0.0,0.0
0,1,0.0,1.52,0,0,90,11,46342,1,0.0,6,45,241,DEF,Calvin,Bassey,9,2.0,540,6,44237,0,0,6.95,8.0,2.0,,
0,0,0.0,1.23,2,0,72,11,274524,1,0.0,2,50,27,FWD,Cameron,Archer,17,4.4,392,4,227802,2,0,,,,1.32,19.0
0,0,0.08,1.82,1,0,90,11,162929,1,7.0,2,39,263,DEF,Cameron,Burgess,10,1.0,360,4,104748,0,0,9.22,8.0,0.0,,
0,0,0.0,0.0,0,0,0,11,1813,0,0.0,0,45,273,MID,Cameron,Humphreys,10,0.0,0,0,2085,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,5608,0,0.0,0,45,140,MID,Cameron,Peupion,5,0.0,0,0,5969,0,0,,,,0.0,0.0
0,1,0.0,1.38,0,0,90,11,215434,1,0.0,6,44,325,GK,Caoimhin,Kelleher,12,2.4,360,4,128503,0,0,4.41,4.0,1.0,,
0,1,0.02,0.77,0,0,78,11,93152,1,5.0,3,48,368,MID,Carlos Henrique,Casimiro,14,3.4,395,4,60450,1,0,,,,1.45,14.83
0,0,0.0,0.0,0,0,0,11,19788,0,0.0,0,43,427,GK,Carlos Miguel,dos Santos Pereira,16,0.0,0,0,20470,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,2396,0,0.0,0,55,655,MID,Carlos Roberto,Forbs Borges,20,0.6,177,1,1754,0,0,,,,0.2,3.17
0,0,0.0,0.0,0,0,0,11,34003,0,0.0,0,50,258,FWD,Carlos Vinícius,Alves Morais,9,0.0,0,0,35609,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,2641,0,0.0,0,49,450,MID,Carlos,Alcaraz Durán,17,0.0,0,0,2956,0,0,,,,0.0,0.0
0,0,0.11,0.29,0,0,45,11,27927,0,2.0,1,50,115,MID,Carlos,Baleba,5,1.8,357,4,26134,1,1,,,,0.63,8.5
0,0,0.05,0.06,0,0,23,11,2020,0,2.0,1,50,654,MID,Carlos,Soler,19,0.8,207,1,1754,0,0,,,,0.24,4.0
0,0,0.0,0.0,0,0,0,11,5749,0,0.0,0,40,615,GK,Carl,Rushworth,5,0.0,0,0,6137,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,5113,0,0.0,0,48,161,MID,Carney,Chukwuemeka,6,0.0,0,0,5301,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,14161,0,0.0,0,44,158,MID,Cesare,Casadei,6,0.0,0,0,13776,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,5557,0,0.0,0,43,195,DEF,Chadi,Riad Dnanou,7,0.0,0,0,6014,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,480866,0,0.0,0,39,475,DEF,Charlie,Taylor,17,0.4,103,1,434859,0,0,2.2,4.0,0.0,,
0,0,0.02,0.63,1,0,28,11,6087,0,1.0,1,49,193,MID,Cheick,Doucouré,7,0.4,38,0,6924,0,0,,,,0.02,0.17
0,0,0.0,0.0,0,0,0,11,1093,0,0.0,0,49,632,MID,Chiedozie,Ogbene,10,0.4,119,2,1369,0,0,,,,0.03,0.33
0,0,0.01,0.0,0,0,11,11,22459,0,0.0,1,54,370,MID,Christian,Eriksen,14,1.4,287,3,22589,0,0,,,,0.45,2.17
0,0,0.09,2.17,2,0,82,11,23154,1,7.0,2,48,101,MID,Christian,Nørgaard,4,3.4,415,5,15439,1,1,,,,0.88,11.33
0,0,0.0,0.0,0,0,0,11,18997,0,0.0,0,44,283,GK,Christian,Walton,10,0.0,0,0,19830,0,0,0.0,0.0,0.0,,
0,0,0.0,0.4,0,0,2,11,268857,0,0.0,1,59,181,MID,Christopher,Nkunku,6,0.6,48,0,323650,0,0,,,,1.03,6.5
0,0,0.0,0.0,0,0,0,11,3383,0,0.0,0,44,72,DEF,Chris,Mepham,3,0.0,0,0,3710,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,10902,0,0.0,0,44,194,DEF,Chris,Richards,7,0.0,0,0,13033,0,0,0.0,0.0,0.0,,
0,0,0.01,1.7,3,0,90,11,2621862,1,2.0,2,66,447,FWD,Chris,Wood,16,7.4,502,6,1643996,5,0,,,,2.17,25.17
0,0,0.0,0.0,0,0,0,11,77555,0,0.0,0,40,280,GK,Cieran,Slicker,10,0.0,0,0,79441,0,0,0.0,0.0,0.0,,
0,0,0.06,0.22,0,0,25,11,226054,0,21.0,1,71,321,FWD,Cody,Gakpo,12,3.4,314,3,194714,1,1,,,,0.79,10.0
0,0,0.16,0.99,1,0,90,11,5684380,1,24.0,2,110,182,MID,Cole,Palmer,6,4.6,540,6,5334435,5,1,,,,5.05,35.83
0,1,0.01,1.23,0,0,65,11,28243,0,0.0,6,47,313,DEF,Conor,Bradley,12,1.4,66,0,32226,0,0,1.23,0.0,1.0,,
0,0,0.0,0.0,0,0,0,11,11632,0,0.0,0,52,265,MID,Conor,Chaplin,10,1.8,186,2,12283,0,1,,,,0.5,4.67
0,0,0.0,0.0,0,0,0,11,32448,0,0.0,0,40,288,DEF,Conor,Coady,11,0.0,0,0,31845,0,0,0.0,0.0,0.0,,
0,0,0.0,0.0,0,0,0,11,16305,0,0.0,0,59,169,MID,Conor,Gallagher,6,0.0,0,0,17124,0,0,,,,0.0,0.0
0,0,0.0,0.0,0,0,0,11,43811,0,0.0,0,40,583,DEF,Conor,Townsend,10,0.2,1,0,44512,0,0,0.23,1.0,0.0,,
0,0,0.0,0.0,0,0,0,11,497,0,0.0,0,40,279,DEF,Corrie,Ndaba,10,0.0,0,0,538,0,0,0.0,0.0,0.0,,
0,1,0.0,0.66,0,0,90,11,21596,1,0.0,7,44,542,DEF,Craig,Dawson,20,2.4,450,5,18398,0,1,10.35,11.0,1.0,,
